name,styleUrl,fill-opacity,fill,stroke-opacity,stroke,icon-scale,icon-offset,icon-offset-units,icon,open
Elandshoek KMP 70/5 -71/19,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Alkmaar KMP 90/9 -96/1,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,1
Middelburg 35/5-43/5,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,1
Clewer 105/7 - Witbank 113/9,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,1
Forfar KMP 51/1 -60/2,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,1
Wonderfontein Station  KMP 88/13 - KMP 81/12,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Paardeplaas  KMP 99/3 - KMP 90/3 Single Line,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
KMP 61/4 - 78/4 - Single Line.,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
KMP 43/4 - 60/4 - Derwent Single Line â€“ Distance 17km.,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Ngondwana 51/20 -55/7 Single Line,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Ngodwana KMP 56/4 -60/19 Single Line,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Wakefield Relay Room KMP 97/2 -102/14,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Oosbank 2/9 - Uitkyk Station KMP 25/23,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Uitkyk KMP 27/12 -33/10,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Elandhoek KMP 65/9 -69/5,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Reception 75/22 - 79/11,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Alkmaar KMP 99/8-102/7,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
Westaffin KMP 103/12-106/12,#m_ylw-pushpin010,0.30196078431372547,#ff0000,1,#ff0000,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,